topic,mean_js_llm,mean_f1_llm,mean_cramer_llm,mean_js_diff,mean_f1_diff,mean_cramer_diff,llm_js_lower,llm_js_upper,const_js_lower,const_js_upper,diff_js_lower,diff_js_upper,diff_sig_js,llm_f1_score_lower,llm_f1_score_upper,const_f1_score_lower,const_f1_score_upper,diff_f1_score_lower,diff_f1_score_upper,diff_sig_f1_score,llm_cramer_v_lower,llm_cramer_v_upper,const_cramer_v_lower,const_cramer_v_upper,diff_cramer_v_lower,diff_cramer_v_upper,diff_sig_cramer_v
race_diversity,0.18959216579957472,0.6000700032512295,0.2196058343717358,0.3156106773889607,0.18145225745730678,0,0.1743214514704698,0.2047513434424909,0.493542305120206,0.5172130134218662,0.3032987223266891,0.329262538023223,True,0.5834932312681654,0.6168909377805457,0.3987704842896502,0.43789086584458803,0.16286268009322988,0.19885617573461128,True,0.19364015197445195,0.2524224059013299,0,0,0,0,True
gender_role,0.11704662951219644,0.6066916301060514,0.2033489749428583,0.32760433437401937,0.08649156561493615,0,0.10193766994240339,0.13096839289606332,0.4339944492306219,0.4561716267939702,0.3079947228742544,0.34866582356526593,True,0.5907069512986991,0.6217821915215934,0.5007286246496206,0.5382328194979605,0.06602060532560912,0.10819741644459584,True,0.1806563327523837,0.22454278127664135,0,0,0,0,True
current_economy,0.08499787464404779,0.5166291775210132,0.28854473344766407,0.5009149954845803,0.22599387017956826,0,0.06889437058000188,0.09973420310489144,0.5747215437371372,0.5967918979031122,0.4881280245264288,0.5141465664528463,True,0.4998532604290768,0.5325912240235897,0.27456610488616334,0.30771155391804894,0.20639047972054034,0.24653977883383227,True,0.2661474654989082,0.31080142867227234,0,0,0,0,True
drug_addiction,0.2026487850681371,0.5567658793434593,0.10834256038083787,0.20813384035410837,-0.020586487516239597,0,0.18537321305378582,0.21989073308502258,0.3993988413667693,0.4219666740705422,0.18831961454137314,0.23152563838725093,True,0.5407851281672384,0.5739430421782366,0.5585174766242408,0.5964711903883976,-0.03617306014486694,-0.0037163611735754726,True,0.08705582657051783,0.13006964537568988,0,0,0,0,True
climate_change,0.21466349444355054,0.5884693373092789,0.41471159796074103,0.2930704531782779,0.1740986026438293,0,0.20125946989290688,0.22810515245588386,0.496013030383971,0.5183521491363541,0.271960930511041,0.31332158988602804,True,0.5738686087537197,0.6039547004607967,0.3968848401664769,0.43373901178276375,0.14951792876724704,0.19751281500577186,True,0.39431431720348464,0.433695883651487,0,0,0,0,True
gay_marriage,0.10056584094970955,0.6809533174703669,0.3020349088160706,0.3026357347415734,0.09096824702836484,0,0.08376865459781763,0.11931217190029696,0.3924364879078084,0.4139872467388777,0.28449987760645046,0.32167661214605775,True,0.6653535349620733,0.6961934413155171,0.5719557836818416,0.6079201753296171,0.07588034094774761,0.10522562548067184,True,0.2796681485976216,0.32548258478813785,0,0,0,0,True
refugee_allowing,0.36703585241407133,0.47410893284705696,0.2543164855248677,0.14867119133479928,0.07282267535500793,0,0.3504373998703828,0.384788899881326,0.5043924040142013,0.527047740522122,0.13289303700685046,0.1646669087167799,True,0.4561997434218407,0.49132118340323017,0.3827309364035586,0.420038094904273,0.059852936928578244,0.08608127628922671,True,0.23420452299023828,0.275183263897828,0,0,0,0,True
health_insurance_policy,0.2318836902592629,0.5909741787522615,0.288269528725045,0.2741040335194125,0.17375848432228225,0,0.21767107150681542,0.24537049439379266,0.49454696225118355,0.5175904704403873,0.2595545374042088,0.2889297228703863,True,0.574400354669172,0.6081009885715088,0.3980401235469054,0.43622653071857564,0.1570739811898808,0.1908193506528935,True,0.2664348528658591,0.30991440714778784,0,0,0,0,True
gun_regulation,0.2525998680245905,0.5855750851468122,0.29429408994018125,0.2772093791710654,0.2071991375284098,0,0.23834902107475378,0.26796516067454906,0.5187093558427898,0.5401406485077103,0.2554512378535323,0.29872124015761464,True,0.5704685895929613,0.6000224588089907,0.36188535854180637,0.3963852664770464,0.18085763744435984,0.23048261342566875,True,0.276858509703279,0.31121392082993543,0,0,0,0,True
income_inequality,0.06315187702407549,0.6066134734942008,0.3970113999228647,0.5051336570498118,0.2892294458414048,0,0.04832171721145577,0.07769141193284054,0.556905129136577,0.5791688650479481,0.48614457355139945,0.52302690753107,True,0.5915404039209875,0.6222628783746323,0.30093535442083696,0.3350559799875096,0.27156287726945333,0.30839664148976226,True,0.37651215433223667,0.417894144489448,0,0,0,0,True
